,tweet_id,jpg_url,img_num,breed,p1_conf,p1_dog,p2_conf,p2_dog,p3_conf,p3_dog,tweet_rating,tweet_date,tweet_source,text,rating_numerator,rating_denominator,date,tweet_url,name,dog_kind,retweet_count,favorite_count
0,666029285002620928,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1,Redbone,0.506826,True,0.0741916999999999,True,0.07201,True,0.7,2015-11-15 23:05:30+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,7,10,11.15.2015,https://twitter.com/dog_rates/status/666029285002620928/photo/1,None,not_specified,48,132
1,666033412701032449,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,1,German_Shepherd,0.596461,True,0.1385839999999999,True,0.116197,True,0.9,2015-11-15 23:21:54+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,9,10,11.15.2015,https://twitter.com/dog_rates/status/666033412701032449/photo/1,None,not_specified,47,128
2,666049248165822465,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,1,Miniature_Pinscher,0.560311,True,0.243682,True,0.154629,True,0.5,2015-11-16 00:24:50+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,5,10,11.16.2015,https://twitter.com/dog_rates/status/666049248165822465/photo/1,None,not_specified,41,111
3,666050758794694657,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,1,Bernese_Mountain_Dog,0.651137,True,0.263788,True,0.0161992,True,1.0,2015-11-16 00:30:50+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,10,10,11.16.2015,https://twitter.com/dog_rates/status/666050758794694657/photo/1,None,not_specified,60,136
4,666051853826850816,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1,Box_Turtle,0.933012,False,0.0458854,False,0.0178852999999999,False,0.2,2015-11-16 00:35:11+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,2,10,11.16.2015,https://twitter.com/dog_rates/status/666051853826850816/photo/1,,not_specified,879,1253
5,666055525042405380,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,1,Chow,0.692517,True,0.0582793999999999,True,0.0544486,False,1.0,2015-11-16 00:49:46+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,10,10,11.16.2015,https://twitter.com/dog_rates/status/666055525042405380/photo/1,None,not_specified,261,448
6,666057090499244032,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1,Shopping_Cart,0.962465,False,0.0145937999999999,False,0.00795896,True,0.9,2015-11-16 00:55:59+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,9,10,11.16.2015,https://twitter.com/dog_rates/status/666057090499244032/photo/1,None,not_specified,146,304
7,666063827256086533,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,1,Golden_Retriever,0.77593,True,0.0937178,True,0.0724266,True,1.0,2015-11-16 01:22:45+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,10,10,11.16.2015,https://twitter.com/dog_rates/status/666063827256086533/photo/1,,not_specified,232,496
8,666071193221509120,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,1,Gordon_Setter,0.503672,True,0.174201,True,0.109454,True,0.9,2015-11-16 01:52:02+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx,9,10,11.16.2015,https://twitter.com/dog_rates/status/666071193221509120/photo/1,None,not_specified,67,154
9,666099513787052032,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,1,Lhasa,0.58233,True,0.166192,True,0.0896883,True,0.8,2015-11-16 03:44:34+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10 https://t.co/Ri4nMTLq5C,8,10,11.16.2015,https://twitter.com/dog_rates/status/666099513787052032/photo/1,None,not_specified,73,164
10,666104133288665088,https://pbs.twimg.com/media/CT56LSZWoAAlJj2.jpg,1,Hen,0.965932,False,0.0339194,False,5.20658e-05,False,0.1,2015-11-16 04:02:55+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Not familiar with this breed. No tail (weird). Only 2 legs. Doesn't bark. Surprisingly quick. Shits eggs. 1/10 https://t.co/Asgdc6kuLX,1,10,11.16.2015,https://twitter.com/dog_rates/status/666104133288665088/photo/1,None,not_specified,6871,14765
